1,000053,0,7
2,000102,1,2
3,000121,1,3
4,000145,0,5
5,000145,1,2
6,000146,1,3
7,000149,0,7
8,000149,0,5
9,000149,0,2
10,000206,1,2
11,000206,1,2
12,000211,1,2
13,000211,1,2
14,000231,1,7
15,000236,0,5
16,000239,0,7
17,000239,0,7
18,000240,0,5
19,000242,0,7
20,000243,0,5
21,000248,1,2
22,000308,1,2
23,000311,1,7
24,000312,0,2
25,000312,1,3
26,000315,1,2
27,000317,1,2
28,000319,0,3
29,000328,0,2
30,000331,1,2
31,000335,1,2
32,000339,0,2
33,000341,1,2
34,000343,1,2
35,000423,1,2
36,000429,0,2
37,000456,1,2
38,000458,1,2
39,000513,0,7
40,000517,0,5
41,000609,0,7
42,000610,1,2
43,000611,1,2
44,000613,1,5
45,000614,1,2
46,000615,1,2
47,000616,0,5
48,000616,0,2
49,000617,1,2
50,000618,1,2
51,000619,0,7
52,000619,0,2
53,000620,0,5
54,000622,1,2
55,000623,1,2
56,000623,0,7
57,000624,1,2
58,000625,1,2
59,000631,1,2
60,000708,1,2
61,000712,1,2
62,000719,1,3
63,000741,1,7
64,000802,1,2
65,000809,1,2
66,000852,1,3
67,000857,0,2
68,000858,0,5
69,000858,1,7
70,000858,1,7
71,000858,0,2
72,000859,0,2
73,000904,1,7
74,000909,1,2
75,000910,1,2
76,000911,1,2
77,000912,0,2
78,000916,0,2
79,000919,0,2
80,000921,1,2
81,000929,0,7
82,001003,1,2
83,001104,0,2
84,001114,1,2
85,001131,1,3
86,001157,1,2
87,001158,1,2
88,001159,1,2
89,001159,1,7
90,001159,0,2
91,001203,1,2
92,001203,1,2
93,001204,1,2
94,001205,1,2
95,001207,1,2
96,001208,1,2
97,001211,0,2
98,001212,1,2
99,001213,1,2
100,001214,1,2
101,001217,0,2
102,001223,1,2
103,001226,1,2
104,001330,1,2
105,001334,0,2
106,001335,0,2
107,001343,1,5
108,001349,0,2
109,001404,0,2
110,001407,1,3
111,001417,1,2
112,001441,0,2
113,001443,1,2
114,001444,1,2
115,001446,1,2
116,001448,1,2
117,001448,1,2
118,001449,0,3
119,001450,1,3
120,001453,1,2
121,001457,0,5
122,001501,0,2
123,001505,0,5
124,001510,1,2
125,001513,0,7
126,001514,1,7
127,001515,1,2
128,001613,1,2
129,001623,1,2
130,001644,1,2
131,001647,1,2
132,001649,0,7
133,001649,0,2
134,001657,0,7
135,001702,0,7
136,001714,0,3
137,001722,1,2
138,001724,0,7
139,001724,0,2
140,001725,0,5
141,001726,0,7
142,001726,1,2
143,001727,1,2
144,001728,0,7
145,001729,0,2
146,001732,1,2
147,001732,1,2
148,001733,1,2
149,001734,0,5
150,001734,0,7
151,001734,0,2
152,001735,0,2
153,001737,1,7
154,001737,0,2
155,001738,0,2
156,001744,1,2
157,001826,1,2
158,001843,1,2
159,001853,0,7
160,001914,0,2
161,001933,1,2
162,001934,1,2
163,001936,0,2
164,002002,1,2
165,002007,0,5
166,002019,1,3
167,002023,1,2
