1,000051,0,0,15
2,000105,1,0,148
3,000105,1,0,3
4,000110,0,0,9
6,000130,1,0,74
6,000130,1,1,74
7,000139,0,0,38
8,000139,0,0,138
10,000139,0,0,15
10,000139,1,0,1
12,000213,1,0,11
12,000213,1,0,4
13,000221,0,0,37
14,000226,0,0,13
15,000232,1,0,6
16,000237,0,0,39
17,000245,0,0,2
18,000259,1,0,31
19,000259,1,0,37
20,000411,1,0,50
21,000431,1,0,2
22,000535,1,0,25
23,000537,1,0,22
24,000540,0,0,14
26,000543,0,0,30
26,000543,1,0,1
27,000616,0,0,1
28,000640,1,0,19
29,000646,1,0,30
30,000654,0,0,14
33,000655,0,0,30
33,000655,0,0,21
34,000656,0,0,43636
34,000656,0,0,25
35,000704,0,0,77
36,000714,0,0,1
39,000744,0,0,16
39,000744,0,0,6
39,000744,0,0,1
41,000751,1,0,144
41,000751,1,1,72
42,000827,1,0,4
