2,000052,0,1,19
2,000052,0,0,17
4,000058,0,0,25
4,000058,0,1,25
5,000118,1,7,30
7,000138,1,0,73
7,000138,1,1,73
9,000139,1,1,77
9,000139,1,0,76
10,000153,1,0,5
11,000210,1,7,74
12,000227,1,2,39
14,000234,0,3,38
14,000234,0,0,38
15,000257,0,7,38
16,000308,1,2,31
17,000317,1,7,51
19,000408,0,3,30
19,000408,0,0,30
20,000444,1,2,76
21,000512,1,7,76
22,000512,0,7,37
23,000601,1,2,51
24,000628,1,5,2
25,000652,1,7,51
26,000653,0,0,6
27,000713,0,5,25
28,000727,1,2,50
29,000730,1,2,50
31,000746,1,3,76
31,000746,1,0,75
33,000804,1,7,72
33,000804,1,5,72
34,000808,0,7,52
36,000808,0,0,8
37,000811,0,2,25
37,000811,0,0,8
41,000826,0,0,74
41,000826,0,1,74
41,000826,0,1,21
41,000826,0,0,16
43,000832,1,0,49
43,000832,1,1,49
45,000857,0,1,21
45,000857,0,0,21
46,000859,1,7,51
47,000902,0,7,37
48,000904,0,2,30
49,000946,0,2,37
51,000948,1,0,74
51,000948,1,1,73
53,000949,1,1,74
53,000949,1,0,74
55,000949,1,0,74
55,000949,1,1,73
57,000950,1,0,74
57,000950,1,1,73
59,001003,0,0,49
59,001003,0,5,15
60,001024,0,2,30
62,001040,1,0,74
62,001040,1,1,50
64,001041,1,0,77
64,001041,1,1,76
66,001041,1,0,49
66,001041,1,1,49
68,001042,1,0,139
68,001042,1,1,73
70,001042,0,0,51
70,001042,0,1,51
72,001043,1,0,75
72,001043,1,1,75
74,001044,1,0,73
74,001044,1,1,51
76,001044,1,0,78
76,001044,1,1,77
78,001045,1,0,76
78,001045,1,1,75
79,001122,0,2,51
80,001123,0,5,25
81,001127,1,2,50
82,001155,0,7,30
83,001215,0,2,37
84,001223,0,7,17
85,001231,1,2,75
86,001241,1,0,5
87,001251,1,0,3
88,001256,0,7,30
89,001306,0,7,31
91,001321,1,7,38
92,001322,1,0,5
93,001324,1,0,158
93,001324,1,0,19
94,001348,0,2,38
95,001356,1,7,50
96,001420,0,2,73
98,001421,0,7,145
99,001421,0,2,76
100,001424,1,7,76
100,001424,1,7,2
101,001428,1,2,51
102,001453,1,2,38
103,001527,0,7,30
104,001536,1,2,74
105,001538,1,2,50
106,001613,0,2,49
108,001659,1,5,9
109,001700,1,5,3
109,001700,1,2,1
110,001716,1,2,51
111,001754,0,2,38
112,001754,1,0,37
113,001758,0,7,30
115,001803,1,5,11
115,001803,1,0,6
116,001805,0,7,50
118,001825,1,3,75
118,001825,1,0,75
120,001826,1,0,77
120,001826,1,1,76
122,001832,1,0,78
122,001832,1,1,50
123,001836,1,5,14
124,001845,0,7,38
125,001856,0,7,25
126,001903,0,2,38
129,001913,1,3,158
129,001913,1,0,156
129,001913,1,0,76
130,001918,1,2,74
131,001938,0,2,38
132,002015,1,2,76
133,002019,1,2,78
135,002023,0,1,21
135,002023,0,0,21
137,002024,0,1,19
137,002024,0,0,19
140,002044,0,0,49
140,002044,0,3,48
140,002044,0,1,38
141,002105,1,7,49
145,002111,0,1,146
145,002111,0,0,144
145,002111,0,0,25
145,002111,0,1,21
147,002121,1,0,21
147,002121,1,1,17
149,002131,0,1,21
149,002131,0,0,21
150,002212,0,2,36
151,002222,1,2,76
152,002224,0,2,38
153,002236,0,2,52
155,002256,0,1,22
155,002256,0,0,21
157,002300,0,1,15
157,002300,0,0,15
158,002336,0,7,30
159,002346,0,5,25
161,002349,0,1,16
161,002349,0,0,16
163,002350,0,1,18
163,002350,0,0,18
165,002351,1,1,19
165,002351,1,0,18
167,002352,1,0,16
167,002352,1,1,14
169,002353,0,1,18
169,002353,0,0,18
170,002353,1,7,70
173,002354,0,0,132
175,002354,1,0,19
175,002354,1,1,16
175,002354,1,0,12
175,002354,1,0,1
177,002427,1,3,76
177,002427,1,0,75
178,002445,1,7,49
179,002534,1,7,52
183,002607,1,0,51
183,002607,1,1,51
183,002607,1,0,38
183,002607,1,1,30
185,002618,0,3,36
185,002618,0,0,36
186,002628,1,7,51
187,002651,1,2,51
188,002718,1,7,76
189,002736,0,7,30
190,002738,1,7,31
191,002752,1,7,74
192,002807,1,7,77
193,002814,1,2,49
195,002819,1,0,5
195,002819,1,5,2
196,002826,1,0,3
197,002832,0,5,11
198,002847,0,7,50
199,002849,0,7,25
200,002857,0,7,25
201,002907,0,2,38
202,002947,0,2,30
203,002957,1,7,51
204,003014,1,2,74
205,003017,1,2,51
206,003027,0,2,30
208,003040,1,3,75
208,003040,1,0,74
209,003051,1,2,75
210,003055,1,2,53
211,003210,0,7,50
213,003213,0,3,36
213,003213,0,0,36
215,003213,1,1,19
215,003213,1,0,19
218,003227,1,3,75
218,003227,1,0,49
218,003227,1,0,3
219,003310,1,2,74
220,003315,1,7,75
221,003319,0,2,49
223,003330,1,0,49
223,003330,1,1,49
225,003330,1,0,76
225,003330,1,1,50
227,003433,0,2,160
227,003433,0,7,31
228,003449,0,2,37
230,003519,1,0,2
230,003519,1,0,1
231,003546,1,0,2
232,003553,1,0,14
233,003554,1,0,145
234,003620,1,0,1
237,003633,0,0,73
237,003633,0,3,37
237,003633,1,1,1
239,003639,1,0,74
239,003639,1,1,74
240,003653,1,2,73
241,003718,0,2,31
242,003742,1,2,72
243,003745,1,2,74
244,003747,0,2,75
245,003750,1,5,10
246,003751,1,5,4
248,003810,1,0,49
248,003810,1,3,38
249,003842,1,2,37
251,003846,1,0,139
251,003846,1,1,74
253,003846,0,0,78
253,003846,0,1,78
255,003847,0,0,76
255,003847,0,1,75
256,003904,1,0,2
257,003923,0,0,2
258,003929,0,0,1
259,003935,1,0,1
260,003944,0,0,6
261,003947,1,5,12
262,003950,1,0,22
263,003952,0,7,38
264,003954,1,2,50
265,004026,1,5,37
266,004051,1,2,50
267,004110,1,2,76
268,004121,1,7,25
269,004243,1,7,74
270,004247,1,7,50
271,004252,1,7,49
273,004259,1,0,72
273,004259,1,1,72
274,004312,0,2,51
275,004315,1,2,38
276,004329,0,5,30
277,004352,1,2,75
278,004401,0,2,77
279,004414,0,7,30
280,004414,0,0,38
281,004422,1,0,5
282,004454,0,7,74
283,004501,1,7,51
284,004503,1,2,30
285,004505,1,2,37
287,004507,1,3,49
287,004507,1,0,37
288,004511,1,7,50
289,004513,0,5,30
290,004517,1,2,38
291,004519,1,2,50
292,004538,0,2,38
293,004626,0,2,30
294,004637,1,2,73
296,004657,1,0,73
296,004657,1,1,73
297,004708,1,2,75
298,004711,1,2,75
299,004719,0,2,51
300,004728,1,5,25
301,004758,0,7,25
302,004814,1,2,37
303,004820,0,7,30
305,004857,1,7,50
305,004857,0,0,4
306,004914,1,7,49
307,004932,1,7,49
308,004933,0,0,38
309,004935,1,2,37
310,004938,0,2,72
312,004947,1,0,74
312,004947,1,1,74
313,004950,1,5,12
314,004956,1,2,72
315,005018,0,7,30
316,005028,1,2,75
317,005059,0,5,38
318,005117,1,2,76
320,005134,1,3,51
320,005134,1,0,50
322,005146,1,0,73
322,005146,1,1,72
324,005149,1,3,75
324,005149,1,0,74
325,005153,1,2,49
327,005206,1,5,22
328,005207,1,5,76
329,005207,1,5,7
330,005208,1,5,10
330,005208,1,2,2
331,005232,1,2,73
332,005239,1,2,50
333,005251,0,2,37
334,005255,0,7,38
335,005257,1,2,30
336,005303,0,2,30
337,005309,1,7,48
338,005311,0,2,48
340,005319,1,1,75
340,005319,1,0,75
342,005319,1,0,49
342,005319,1,1,49
344,005320,1,0,74
344,005320,1,1,74
346,005321,1,1,72
346,005321,1,0,72
348,005321,1,0,72
348,005321,1,1,71
352,005322,1,0,154
352,005322,1,1,152
352,005322,1,1,75
352,005322,1,0,74
354,005322,1,0,72
356,005322,1,1,49315
356,005322,0,0,68
356,005322,0,1,67
358,005325,1,1,75
358,005325,1,0,75
359,005325,1,1,132
361,005326,1,0,48
361,005326,1,1,48
363,005327,1,0,163
363,005327,1,1,161
365,005327,1,0,74
365,005327,1,1,73
367,005327,0,0,75
367,005327,0,1,75
368,005421,1,2,74
370,005436,1,0,72
370,005436,1,1,71
372,005436,1,1,73
372,005436,1,0,72
374,005437,1,0,75
374,005437,1,1,75
376,005437,1,0,74
376,005437,1,1,73
378,005437,1,0,73
378,005437,1,1,73
380,005438,1,0,75
380,005438,1,1,74
382,005438,0,0,138
382,005438,0,1,73
384,005439,0,0,75
384,005439,0,1,51
386,005445,1,0,75
386,005445,1,1,75
388,005450,1,1,75
388,005450,1,0,74
390,005450,1,0,148
390,005450,1,1,72
392,005451,0,0,73
392,005451,0,1,73
394,005451,1,0,73
394,005451,1,1,73
396,005451,1,0,73
396,005451,1,1,72
398,005452,1,0,74
398,005452,1,1,73
400,005453,0,0,73
400,005453,0,1,73
402,005453,0,0,75
402,005453,0,1,74
404,005455,1,0,75
404,005455,1,1,74
405,005459,1,2,53
407,005540,0,0,76
407,005540,0,3,50
408,005555,1,2,30
409,005611,0,7,77
410,005614,1,2,51
